Id,Class,Title,Instructor,Classroom,Time
90120130,01,工程數學-微分方程(一),林清富　,博理112　,"三3,4　　　　"
90139000,01,演算法　　　　　　,張耀文　,博理112　,"三7,8,9　　"
921U2530,00,資料科學　　　　　,陳銘憲　,博理113　,"三2,3,4　　"
90131110,00,電腦網路導論　　　,黃寶儀　,博理212　,"三6 四3,4　"
90239130,02,計算機網路　　　　,逄愛君　,資102　　,"三7,8,9　　"
90225900,00,系統程式設計　　　,鄭卜壬　,資103　　,"三2,3,4　　"
90246100,01,計算機結構　　　　,楊佳玲　,資104　　,"三7,8,9　　"
90248130,00,計算邏輯簡介　　　,王柏堯　,資105　　,"三2,3,4　　"
922U1180,00,類神經網路　　　　,劉長遠　,資105　　,"三7,8,9　　"
922U4430,00,分散式機器學習系統,周承復　,資107　　,"三2,3,4　　"
922U3460,00,醫學影像處理　　　,張瑞峰　,資107　　,"三7,8,9　　"
922M1360,00,高等作業系統　　　,施吉昇　,資110　　,"三7,8,9　　"
943U0300,00,邏輯合成與驗證　　,江介宏　,電二102　,"三2,3,4　　"
921U3430,00,數位積體電路工程　,胡璧合　,電二102　,"三6,7,8　　"
942U0540,00,系統構裝電源完整度,吳瑞北　,電二104　,"三2,3,4　　"
921U1980,00,電腦輔助分析與最佳化,陳中平　,電二104　,"三7,8,9　　"
90110030,04,工程數學-線性代數,楊東霖　,電二106　,"三2 五3,4　"
90120130,02,工程數學-微分方程(一),黃天偉　,電二106　,"三3,4　　　　"
90131100,00,微波系統導論　　　,盧信嘉　,電二144　,"三2,3,4　　"
921U1810,00,排隊理論　　　　　,蔡志宏　,電二144　,"三7,8,9　　"
943U0400,00,電子束技術實習　　,管傑雄　,電二145　,三6　　　　　　
943U0550,00,電腦視覺　　　　　,簡韶逸　,電二145　,"三7,8,9　　"
90110030,01,工程數學-線性代數,林茂昭　,電二146　,"三2 五3,4　"
90120130,03,工程數學-微分方程(一),黃定洧　,電二146　,"三3,4　　　　"
90131700,00,生醫工程概論　　　,魏安祺　,電二146　,"三7,8,9　　"
921U1170,00,可適性信號處理　　,劉俊麟　,電二225　,"三2,3,4　　"
90140900,00,數位語音處理概論　,李琳山　,電二229　,"三2,3,4　　"
90139000,02,演算法　　　　　　,李建模　,電二229　,"三7,8,9　　"
921U7190,00,積體光學　　　　　,彭隆瀚　,電二454　,"三7,8,9　　"
921U8600,00,生醫光譜與光學影像技術,宋孔彬　,明達203　,"四2,3,4　　"
90139800,00,電工實驗(通信專題),鄭皓中　,明達203　,"四7,8　　　　"
90143100,00,控制系統　　　　　,陳政維　,明達205　,"四2,3,4　　"
90132300,02,交換電路與邏輯設計,江介宏　,明達205　,"四8 五8,9　"
921U8300,00,系統識別　　　　　,蔡坤諭　,明達225　,"四2,3,4　　"
941U0180,00,液晶導論　　　　　,蔡永傑　,明達225　,"四8,9,10　"
942U0420,00,時頻分析和小波轉換,丁建均　,明達231　,"四2,3,4　　"
90120140,01,電子學（一）　　　,吳肇欣　,明達231　,"四7,8 五7,8"
921U6700,00,生物晶片技術概論　,莊曜宇　,明達303　,"四2,3,4　　"
941U0400,00,光學系統設計　　　,蘇國棟　,明達303　,"四7,8,9　　"
943U0040,00,高等類比積體電路　,陳信樹　,博理103　,"四2,3,4　　"
941U0220,00,半導體雷射原理　　,毛明華　,博理103　,"四6,7,8　　"
943U0180,00,固態元件　　　　　,管傑雄　,博理112　,"四2,3,4　　"
90131110,01,電腦網路導論　　　,廖婉君　,博理112　,"四7,8,9　　"
90132300,01,交換電路與邏輯設計,吳安宇　,博理113　,"四8 五8,9　"
942U0190,00,電磁相容　　　　　,吳宗霖　,博理114　,"四2,3,4　　"
921U3130,00,雲端計算與資安　　,王勝德　,博理114　,"四7,8,9　　"
921U9230,00,軟體工程　　　　　,陳少傑　,博理217　,"四2,3,4　　"
922U3490,00,生醫資訊學導論　　,曾宇鳳　,資101　　,"四2,3,4　　"
922U4670,00,歷史研究數位人文資源的介紹與實作,項潔　　,資101　　,"四7,8,9　　"
90225800,01,演算法設計與分析　,蕭旭君　,資102　　,"四7,8,9　　"
922U1940,00,虛擬實境　　　　　,歐陽明　,資103　　,"四2,3,4　　"
90225800,02,演算法設計與分析　,陳縕儂　,資104　　,"四7,8,9　　"
922M0520,00,資訊工程理論基礎　,呂育道　,資105　　,"四2,3,4　　"
922U3650,00,電腦對局理論　　　,徐讚昇　,資105　　,"四7,8,9　　"
90239200,00,編譯程式設計　　　,徐慰中　,資107　　,"四7,8,9　　"
922U0830,00,軟體工程設計　　　,李允中　,資110　　,"四6,7,8　　"
922U1020,00,數位訊號處理導論　,陳祝嵩　,資111　　,"四7,8,9　　"
922U4590,00,基礎互動科技　　　,鄭龍磻　,資310　　,"四2,3,4　　"
922M1220,00,高等人工智慧　　　,許永真　,資310　　,"四7,8,9　　"
921U3390,00,非線性系統分析　　,傅立成　,電二101　,"四2,3,4　　"
921U5090,00,電磁理論　　　　　,鄭士康　,電二102　,"四2,3,4　　"
941U0360,00,奈米光機電系統　　,蔡睿哲　,電二104　,"四2,3,4　　"
921U1240,00,錯誤更正碼　　　　,林茂昭　,電二104　,"四7,8,9　　"
90131000,00,通信原理　　　　　,王奕翔　,電二106　,"四2,3,4　　"
90132300,03,交換電路與邏輯設計,盧奕璋　,電二106　,"四8 五8,9　"
921U2650,00,創意電資工程入門教育設計,陳士元　,電二141　,"四7,8,9　　"
921U9580,00,作業系統　　　　　,王凡　　,電二143　,"四2,3,4　　"
90120140,03,電子學（一）　　　,呂良鴻　,電二143　,"四7,8 五7,8"
941U0580,00,表面電漿子原理與應用,楊志忠　,電二144　,"四2,3,4　　"
90132300,04,交換電路與邏輯設計,江蕙如　,電二144　,"四8 五8,9　"
941U0240,00,有機光電半導體與元件,吳忠幟　,電二145　,"四2,3,4　　"
90120140,02,電子學（一）　　　,林宗賢　,電二145　,"四7,8 五7,8"
921U0880,00,固態物理學一　　　,林浩雄　,電二146　,"四2,3,4　　"
90120140,04,電子學（一）　　　,林致廷　,電二146　,"四7,8 五7,8"
942U0110,00,微波單晶積體電路　,王暉　　,電二225　,"四2,3,4　　"
942U0610,00,物聯網導論　　　　,吳瑞北　,電二225　,"四7,8,9　　"
921U7060,00,類比積體電路　　　,李致毅　,電二229　,"四2,3,4　　"
941U0470,00,晶體光子學　　　　,黃升龍　,電二229　,"四6,7,8　　"
941U0160,00,雷射及非線性晶體應用,彭隆瀚　,電二454　,"四7,8,9　　"
941U0190,00,固態雷射　　　　　,孫啟光　,電二455　,"四7,8,9　　"
941U0090,00,半導體光學　　　　,吳育任　,明達203　,"五2,3,4　　"
921U2450,00,控制技術專題　　　,連豊力　,明達203　,"五7,8,9　　"
90170100,00,超大型積體電路設計導論,劉宗德　,明達225　,"五7,8,9　　"
90140600,00,電工實驗(嵌入式系統),王勝德　,明達303　,"五7,8,9　　"
921U4370,00,計算認知神經科學　,鄭士康　,博理103　,"五7,8,9　　"
90140500,00,積體電路設計　　　,闕志達　,博理112　,"五6,7,8　　"
921U2620,00,機器學習　　　　　,吳沛遠　,博理113　,"五2,3,4,5"
941U0110,00,光電子學　　　　　,林清富　,博理114　,"五2,3,4　　"
